2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '91'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '4'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '4'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '2'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '2'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '85'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '85'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '87'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '87'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '90'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '90'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '89'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '89'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '86'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '86'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '88'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '88'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '84'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '84'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '83'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '83'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'produto', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '35'}
2025-08-28 17:51:09 - estoque.database - INFO - DB_UPSERT: {'table': 'dim_consumo', 'operation': 'UPSERT', 'affected_rows': 1, 'codigo': '35'}
